--- maximo 10000000
Caixa 40000 0.061433
Merge 40000 0.061433
Caixa 40500 0.061421
Merge 40500 0.061421
Caixa 41000 0.073732
Merge 41000 0.073732
Caixa 41500 0.057399
Merge 41500 0.057399
Caixa 42000 0.061325
Merge 42000 0.061325
Caixa 42500 0.066456
Merge 42500 0.066456
Caixa 43000 0.066037
Merge 43000 0.066037
Caixa 43500 0.071500
Merge 43500 0.071500
Caixa 44000 0.066373
Merge 44000 0.066373
Caixa 44500 0.062304
Merge 44500 0.062304
Caixa 45000 0.058833
Merge 45000 0.058833
Caixa 45500 0.071009
Merge 45500 0.071009
Caixa 46000 0.067519
Merge 46000 0.067519
Caixa 46500 0.067388
Merge 46500 0.067388
Caixa 47000 0.066394
Merge 47000 0.066394
Caixa 47500 0.069794
Merge 47500 0.069794
Caixa 48000 0.066731
Merge 48000 0.066731
Caixa 48500 0.061008
Merge 48500 0.061008
Caixa 49000 0.065966
Merge 49000 0.065966
Caixa 49500 0.062060
Merge 49500 0.062060
Caixa 50000 0.062945
Merge 50000 0.062945
Caixa 50500 0.066839
Merge 50500 0.066839
Caixa 51000 0.070418
Merge 51000 0.070418
Caixa 51500 0.074661
Merge 51500 0.074661
Caixa 52000 0.064756
Merge 52000 0.064756
Caixa 52500 0.067007
Merge 52500 0.067007
Caixa 53000 0.063070
Merge 53000 0.063070
Caixa 53500 0.062266
Merge 53500 0.062266
Caixa 54000 0.070390
Merge 54000 0.070390
Caixa 54500 0.070366
Merge 54500 0.070366
Caixa 55000 0.063146
Merge 55000 0.063146
Caixa 55500 0.072640
Merge 55500 0.072640
Caixa 56000 0.074330
Merge 56000 0.074330
Caixa 56500 0.062617
Merge 56500 0.062617
Caixa 57000 0.067238
Merge 57000 0.067238
Caixa 57500 0.067180
Merge 57500 0.067180
Caixa 58000 0.045958
Merge 58000 0.045958
Caixa 58500 0.066697
Merge 58500 0.066697
Caixa 59000 0.060014
Merge 59000 0.060014
Caixa 59500 0.076092
Merge 59500 0.076092
Caixa 60000 0.058865
Merge 60000 0.058865
Caixa 60500 0.059557
Merge 60500 0.059557
Caixa 61000 0.068037
Merge 61000 0.068037
Caixa 61500 0.054805
Merge 61500 0.054805
Caixa 62000 0.067645
Merge 62000 0.067645
Caixa 62500 0.067944
Merge 62500 0.067944
Caixa 63000 0.050498
Merge 63000 0.050498
Caixa 63500 0.067013
Merge 63500 0.067013
Caixa 64000 0.072382
Merge 64000 0.072382
Caixa 64500 0.061333
Merge 64500 0.061333
Caixa 65000 0.067748
Merge 65000 0.067748
Caixa 65500 0.063360
Merge 65500 0.063360
Caixa 66000 0.068700
Merge 66000 0.068700
Caixa 66500 0.054838
Merge 66500 0.054838
Caixa 67000 0.076074
Merge 67000 0.076074
